comment,toxic
"Преступление и наказание
",0.0
"И именно эти неработающие весы показывают, что работающих нет?..
",0.0
"В Японии такие панельки, ебанько.
",0.0
"Еще у нас выявляют трещины с помощью белой краски и магнитной краски, потом прислоняют большой магнит и трещины проявляются. Не знаю как этот метод называется, у нас швы труб до 300мм им проверяют
",0.0
"Дочитал до поезда в Норильск , дальше не стал
",0.0
"А всего-то нужно было перестать бухать и вывести остатки токсинов из организма. И внезапно жизнь начинает играть новыми красками. Это чистая физиология. И психология тут не при чём (хотя отказ от транков доступных транков в виде легализованных наркотиков скорее всего причём) Депрессии как таковой не существует. То есть вообще. То есть в принципе. Это просто такое состояние, в которое индивид начинает себя вгонять, оправдявая им вступление на тропу саморазрушения. Ой, у меня депрессия, я тут с краю полежу. А дайте мне вина? А дайте мне лёгких наркотиков? А есть что потяжелее? Вот это вот всё не депрессия. Это просто деструктивизм и сознательная аморализация в надежде что кто-то там найдётся, кто-то поймёт и кому-то нужно выплакаться наконец в жилетку. И всё бы было хорошо, если бы из этого состояния можно было вот так просто по щелчку пальцами выйти. Но оно затягивает, многих затягивает в самое дно, и вчерашние капризы становятся настоящей личностной проблемой. Так просто делать не нужно, вот и всё.
",0.0
"С кем? С каким-то независимым оператором ? Что хохлы пытаются промутить?
",1.0
"Ответ бати когда ты говоришь,что ты в аккале
",1.0
"Схуя это в эсэсэре был коммунистический режим, дебилушка? В этом и юмор. Что Китай ебет мир и в хвост, и в гриву даже сейчас, а хлипкий социализм сэсэра не простоял и сотни лет.
",1.0
"Полетайте KLM, там такие красавцы попадаются). А женщины наоборот.
",0.0
"куколдыш Иди значение выучи, мурло Скоро и тебе пиздарики наступят. Что сделаешь, насрешь под дверью, ЧМО?
",1.0
"Страшно то, что и дом и крутая тачка не принесут такого счастья, я честно не знаю, что может его теперь принести...
",0.0
"Свынка, укатывайся на кропивач, там твой ранимый анус никто не тронет.
",1.0
"Будешь орать когда тебя десять хачей в жопу ебать начнут, сжв-хуесос. Хотя наверняка тебе понравится.
",1.0
"Где такие, как хотя бы пан Марцинкевич? Блядь, эта строка перчеркнула всё выше написанное.
",1.0
"Как красиво! А где это поподробнее?
",0.0
